DER_TYPE,DER_INSTR,DER_RISK,DER_REP_CTY,DER_SECTOR_CPY,DER_CPC,DER_SECTOR_UDL,DER_CURR_LEG1,DER_CURR_LEG2,DER_ISSUE_MAT,DER_RATING,DER_EX_METHOD,DER_BASIS,AVAILABILITY,COLLECTION,TIME_PERIOD,OBS_VALUE
T,W,T,5J,N,5J,A,TO1,TO1,A,B,3,A,K,S,2021-S2,12381.0
T,W,T,5J,N,5J,A,TO1,TO1,A,B,3,A,K,S,2022-S1,10363.0
A,T,L,5J,A,5J,A,TO1,TO1,A,A,3,A,K,S,2021-S2,97640.002
A,T,L,5J,A,5J,A,TO1,TO1,A,A,3,A,K,S,2022-S1,122347.497
A,V,T,5J,M,5J,A,TO1,TO1,A,B,3,C,K,S,2021-S2,30487.0
A,V,T,5J,M,5J,A,TO1,TO1,A,B,3,C,K,S,2022-S1,31734.0
C,V,T,5J,A,5J,A,TO1,TO1,A,A,3,A,K,S,2021-S2,49581.909
C,V,T,5J,A,5J,A,TO1,TO1,A,A,3,A,K,S,2022-S1,66776.957
D,I,B,5J,A,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,1041298.774
D,I,B,5J,A,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,1805005.873
A,W,T,5J,Z,5J,B,TO1,TO1,A,A,3,C,K,S,2021-S2,49463.0
A,W,T,5J,Z,5J,B,TO1,TO1,A,A,3,C,K,S,2022-S1,52089.0
A,D,B,5J,A,5J,A,TO1,SEK,A,A,3,C,K,S,2021-S2,1384222.734
A,D,B,5J,A,5J,A,TO1,SEK,A,A,3,C,K,S,2022-S1,1329177.884
D,S,B,5J,B,5J,A,GBP,TO1,A,A,3,A,K,S,2021-S2,1926.103
D,S,B,5J,B,5J,A,GBP,TO1,A,A,3,A,K,S,2022-S1,6424.756
S,W,T,5J,C,5J,A,TO1,TO1,A,A,3,A,K,E,2021-S2,2469151.87
S,W,T,5J,C,5J,A,TO1,TO1,A,A,3,A,K,E,2022-S1,2558099.333
D,R,B,5J,K,5J,A,TO1,CAD,A,A,3,C,K,S,2021-S2,1.733
D,R,B,5J,K,5J,A,TO1,CAD,A,A,3,C,K,S,2022-S1,21.108
S,W,T,5J,N,5J,A,TO1,TO1,A,B,3,A,K,E,2021-S2,4851.0
S,W,T,5J,N,5J,A,TO1,TO1,A,B,3,A,K,E,2022-S1,6051.0
D,R,D,5J,K,5J,A,TO1,EUR,A,A,3,C,K,S,2021-S2,126.857
D,R,D,5J,K,5J,A,TO1,EUR,A,A,3,C,K,S,2022-S1,130.255
D,T,D,5J,A,5J,A,USD,TO1,A,A,3,A,K,S,2021-S2,159358.987
D,T,D,5J,A,5J,A,USD,TO1,A,A,3,A,K,S,2022-S1,257190.687
T,U,T,5J,B,5J,A,TO1,TO1,A,B,3,A,K,S,2021-S2,676290.0
T,U,T,5J,B,5J,A,TO1,TO1,A,B,3,A,K,S,2022-S1,634744.0
A,S,D,5J,B,5J,A,TO1,EUR,A,A,3,A,K,S,2021-S2,6827861.333
A,S,D,5J,B,5J,A,TO1,EUR,A,A,3,A,K,S,2022-S1,7695216.58
A,D,B,5J,B,5J,A,EUR,TO1,A,A,3,C,K,S,2021-S2,5707897.764
A,D,B,5J,B,5J,A,EUR,TO1,A,A,3,C,K,S,2022-S1,5389346.046
D,S,D,5J,B,5J,A,TO1,CHF,A,A,3,A,K,S,2021-S2,252.358
D,S,D,5J,B,5J,A,TO1,CHF,A,A,3,A,K,S,2022-S1,378.662
A,T,E,5J,U,5J,A,TO1,TO1,D,A,3,A,K,S,2021-S2,108399.111
A,T,E,5J,U,5J,A,TO1,TO1,D,A,3,A,K,S,2022-S1,102180.105
D,R,E,5J,C,5P,A,TO1,TO1,A,A,3,C,K,S,2021-S2,16888.834
D,R,E,5J,C,5P,A,TO1,TO1,A,A,3,C,K,S,2022-S1,19852.508
D,D,E,5J,B,5K,A,TO1,TO1,A,A,3,C,K,S,2021-S2,14719.151
D,D,E,5J,B,5K,A,TO1,TO1,A,A,3,C,K,S,2022-S1,17033.074
A,T,E,5J,A,5J,A,TO1,TO1,F,A,3,A,K,S,2021-S2,69339.224
A,T,E,5J,A,5J,A,TO1,TO1,F,A,3,A,K,S,2022-S1,71807.73
A,S,B,5J,A,5J,A,CAD,TO1,A,A,3,A,K,S,2021-S2,511690.338
A,S,B,5J,A,5J,A,CAD,TO1,A,A,3,A,K,S,2022-S1,560876.957
S,U,T,5J,B,5J,A,TO1,TO1,A,B,3,A,K,E,2021-S2,678472.0
S,U,T,5J,B,5J,A,TO1,TO1,A,B,3,A,K,E,2022-S1,649839.0
