Time_Prd,Measure_Type,Counterparty_Client,CCR_CDS,Area_Operation,INPUT,TIME_PERIOD,OBS_VALUE
ATD,APCS,N_A,PROBUY,GL_OP,N_A,2019-Q2,10946.66
ATD,APCS,N_A,PROBUY,GL_OP,N_A,2019-Q2,11049.7
ATD,APCS,N_A,PROSEL,GL_OP,N_A,2019-Q2,10934.71
ATD,APCS,N_A,PROSEL,GL_OP,N_A,2019-Q2,11037.75
ATD,APPS,N_A,PROBUY,GL_OP,N_A,2019-Q2,10931.94
ATD,APPS,N_A,PROBUY,GL_OP,N_A,2019-Q2,11034.98
ATD,APPS,N_A,PROSEL,GL_OP,N_A,2019-Q2,10919.99
ATD,APPS,N_A,PROSEL,GL_OP,N_A,2019-Q2,11023.03
ATD,APT,N_A,PROBUY,GL_OP,N_A,2019-Q2,29600
ATD,APT,N_A,PROBUY,GL_OP,N_A,2019-Q2,26000
ATD,APT,N_A,PROSEL,GL_OP,N_A,2019-Q2,28700
ATD,APT,N_A,PROSEL,GL_OP,N_A,2019-Q2,25000
ATD,NICDSCRPCS,N_A,PROBUY,GL_OP,N_A,2019-Q2,39000
ATD,NICDSCRPCS,N_A,PROBUY,GL_OP,N_A,2019-Q2,33000
ATD,NICDSCRPCS,N_A,PROSEL,GL_OP,N_A,2019-Q2,42000
ATD,NICDSCRPCS,N_A,PROSEL,GL_OP,N_A,2019-Q2,32000
ATD,NICDSCRPCSP,N_A,PROBUY,GL_OP,N_A,2019-Q2,10976.1
ATD,NICDSCRPCSP,N_A,PROBUY,GL_OP,N_A,2019-Q2,11064.42
ATD,NICDSCRPCSP,N_A,PROSEL,GL_OP,N_A,2019-Q2,10964.15
ATD,NICDSCRPCSP,N_A,PROSEL,GL_OP,N_A,2019-Q2,11052.47
ATD,NICDSCRPCSR,N_A,PROBUY,GL_OP,N_A,2019-Q2,10990.82
ATD,NICDSCRPCSR,N_A,PROBUY,GL_OP,N_A,2019-Q2,11079.14
ATD,NICDSCRPCSR,N_A,PROSEL,GL_OP,N_A,2019-Q2,10978.87
ATD,NICDSCRPCSR,N_A,PROSEL,GL_OP,N_A,2019-Q2,11067.19
ATD,NICDSPPR,N_A,PROBUY,GL_OP,N_A,2019-Q2,11005.54
ATD,NICDSPPR,N_A,PROBUY,GL_OP,N_A,2019-Q2,11093.86
ATD,NICDSPPR,N_A,PROSEL,GL_OP,N_A,2019-Q2,10993.59
ATD,NICDSPPR,N_A,PROSEL,GL_OP,N_A,2019-Q2,11081.91
