RA_LIST,Portfolio_Type,Particulars,NAME,Measure_Type,G_Instr,Asset_Qual_Class,Area_Operation,TIME_PERIOD,OBS_VALUE
N_A,N_A,N_A,N_A,TOTAL,DGSEC,N_A,GL_OP,2019-Q2,2557.46
N_A,N_A,N_A,N_A,TOTAL,DGSEC,N_A,GL_OP,2019-Q2,2596.15
N_A,N_A,N_A,N_A,TOTAL,DGSEC,N_A,GL_OP,2019-Q2,2634.84
N_A,N_A,N_A,N_A,TOTAL,GOI_TB,N_A,GL_OP,2019-Q2,2586.9
N_A,N_A,N_A,N_A,TOTAL,GOI_TB,N_A,GL_OP,2019-Q2,2581.43
N_A,N_A,N_A,N_A,TOTAL,GOI_TB,N_A,GL_OP,2019-Q2,2620.12
N_A,N_A,N_A,N_A,TOTAL,OTHAPSEC,N_A,GL_OP,2019-Q2,2586.9
N_A,N_A,N_A,N_A,TOTAL,OTHAPSEC,N_A,GL_OP,2019-Q2,2625.59
N_A,N_A,N_A,N_A,TOTAL,OTHAPSEC,N_A,GL_OP,2019-Q2,2664.28
N_A,N_A,N_A,N_A,TOTAL,SGSEC,N_A,GL_OP,2019-Q2,2572.18
N_A,N_A,N_A,N_A,TOTAL,SGSEC,N_A,GL_OP,2019-Q2,2610.87
N_A,N_A,N_A,N_A,TOTAL,SGSEC,N_A,GL_OP,2019-Q2,2649.56
