NOR_DRVTS,Measure_Type,BNK_OR_TRAD,Area_Operation,TIME_PERIOD,OBS_VALUE
CDS_PRMPAID,GRPD,BK_B,GL_OP,2019-Q2,2761.49
CDS_PRMPAID,GRPD,BK_B,GL_OP,2019-Q2,2857.09
CDS_PRMPAID,GRPD,TR_B,GL_OP,2019-Q2,2749.54
CDS_PRMPAID,GRPD,TR_B,GL_OP,2019-Q2,2845.14
CDS_PRMPAID,GRREC,BK_B,GL_OP,2019-Q2,2737.59
CDS_PRMPAID,GRREC,BK_B,GL_OP,2019-Q2,2833.19
CDS_PRMPAID,GRREC,TR_B,GL_OP,2019-Q2,2725.64
CDS_PRMPAID,GRREC,TR_B,GL_OP,2019-Q2,2821.24
CDS_PRMPAID,HABP,N_A,GL_OP,2019-Q2,2701.74
CDS_PRMPAID,HABP,N_A,GL_OP,2019-Q2,2797.34
CDS_PRMPAID,HABR,N_A,GL_OP,2019-Q2,2713.69
CDS_PRMPAID,HABR,N_A,GL_OP,2019-Q2,2809.29
CDS_PRMPAID,NPPVBP,N_A,GL_OP,2019-Q2,194
CDS_PRMPAID,NPPVBP,N_A,GL_OP,2019-Q2,222
CDS_PRMPAID,REM,N_A,GL_OP,2019-Q2,FHCWPJDCIE
CDS_PRMPAID,REM,N_A,GL_OP,2019-Q2,UIWGKGCSWM
CDS_PRMPAID,TABR,N_A,GL_OP,2019-Q2,2689.79
CDS_PRMPAID,TABR,N_A,GL_OP,2019-Q2,2785.39
CDS_PRMPAID,TRBP,N_A,GL_OP,2019-Q2,2677.84
CDS_PRMPAID,TRBP,N_A,GL_OP,2019-Q2,2773.44
CDS_PRMRECVD,GRPD,BK_B,GL_OP,2019-Q2,2776.21
CDS_PRMRECVD,GRPD,BK_B,GL_OP,2019-Q2,2871.81
CDS_PRMRECVD,GRPD,TR_B,GL_OP,2019-Q2,2764.26
CDS_PRMRECVD,GRPD,TR_B,GL_OP,2019-Q2,2859.86
CDS_PRMRECVD,GRREC,BK_B,GL_OP,2019-Q2,2752.31
CDS_PRMRECVD,GRREC,BK_B,GL_OP,2019-Q2,2847.91
CDS_PRMRECVD,GRREC,TR_B,GL_OP,2019-Q2,2740.36
CDS_PRMRECVD,GRREC,TR_B,GL_OP,2019-Q2,2835.96
CDS_PRMRECVD,HABP,N_A,GL_OP,2019-Q2,2716.46
CDS_PRMRECVD,HABP,N_A,GL_OP,2019-Q2,2812.06
CDS_PRMRECVD,HABR,N_A,GL_OP,2019-Q2,2728.41
CDS_PRMRECVD,HABR,N_A,GL_OP,2019-Q2,2824.01
CDS_PRMRECVD,NPPVBP,N_A,GL_OP,2019-Q2,199
CDS_PRMRECVD,NPPVBP,N_A,GL_OP,2019-Q2,227
CDS_PRMRECVD,REM,N_A,GL_OP,2019-Q2,ZZGBDINJJV
CDS_PRMRECVD,REM,N_A,GL_OP,2019-Q2,TSWFMARRPT
CDS_PRMRECVD,TABR,N_A,GL_OP,2019-Q2,2704.51
CDS_PRMRECVD,TABR,N_A,GL_OP,2019-Q2,2800.11
CDS_PRMRECVD,TRBP,N_A,GL_OP,2019-Q2,2692.56
CDS_PRMRECVD,TRBP,N_A,GL_OP,2019-Q2,2788.16
IRSFCY,REM,N_A,GL_OP,2019-Q2,PBZEXUGWMP
IRSFCY,REM,N_A,GL_OP,2019-Q2,SKDUSDI
IRSFCY_LIBOR,GRPD,BK_B,GL_OP,2019-Q2,2790.93
IRSFCY_LIBOR,GRPD,BK_B,GL_OP,2019-Q2,2886.53
IRSFCY_LIBOR,GRPD,TR_B,GL_OP,2019-Q2,2778.98
IRSFCY_LIBOR,GRPD,TR_B,GL_OP,2019-Q2,2874.58
IRSFCY_LIBOR,GRREC,BK_B,GL_OP,2019-Q2,2767.03
IRSFCY_LIBOR,GRREC,BK_B,GL_OP,2019-Q2,2862.63
IRSFCY_LIBOR,GRREC,TR_B,GL_OP,2019-Q2,2755.08
IRSFCY_LIBOR,GRREC,TR_B,GL_OP,2019-Q2,2850.68
IRSFCY_LIBOR,HABP,N_A,GL_OP,2019-Q2,2731.18
IRSFCY_LIBOR,HABP,N_A,GL_OP,2019-Q2,2826.78
IRSFCY_LIBOR,HABR,N_A,GL_OP,2019-Q2,2743.13
IRSFCY_LIBOR,HABR,N_A,GL_OP,2019-Q2,2838.73
IRSFCY_LIBOR,NPPVBP,N_A,GL_OP,2019-Q2,204
IRSFCY_LIBOR,NPPVBP,N_A,GL_OP,2019-Q2,232
IRSFCY_LIBOR,REM,N_A,GL_OP,2019-Q2,LWXQOXTWVZ
IRSFCY_LIBOR,REM,N_A,GL_OP,2019-Q2,GADDIGNBQK
IRSFCY_LIBOR,TABR,N_A,GL_OP,2019-Q2,2719.23
IRSFCY_LIBOR,TABR,N_A,GL_OP,2019-Q2,2814.83
IRSFCY_LIBOR,TRBP,N_A,GL_OP,2019-Q2,2707.28
IRSFCY_LIBOR,TRBP,N_A,GL_OP,2019-Q2,2802.88
IRSFCY_OTH,GRPD,BK_B,GL_OP,2019-Q2,2805.65
IRSFCY_OTH,GRPD,BK_B,GL_OP,2019-Q2,2901.25
IRSFCY_OTH,GRPD,TR_B,GL_OP,2019-Q2,2793.7
IRSFCY_OTH,GRPD,TR_B,GL_OP,2019-Q2,2889.3
IRSFCY_OTH,GRREC,BK_B,GL_OP,2019-Q2,2781.75
IRSFCY_OTH,GRREC,BK_B,GL_OP,2019-Q2,2877.35
IRSFCY_OTH,GRREC,TR_B,GL_OP,2019-Q2,2769.8
IRSFCY_OTH,GRREC,TR_B,GL_OP,2019-Q2,2865.4
IRSFCY_OTH,HABP,N_A,GL_OP,2019-Q2,2745.9
IRSFCY_OTH,HABP,N_A,GL_OP,2019-Q2,2841.5
IRSFCY_OTH,HABR,N_A,GL_OP,2019-Q2,2757.85
IRSFCY_OTH,HABR,N_A,GL_OP,2019-Q2,2853.45
IRSFCY_OTH,NPPVBP,N_A,GL_OP,2019-Q2,209
IRSFCY_OTH,NPPVBP,N_A,GL_OP,2019-Q2,237
IRSFCY_OTH,REM,N_A,GL_OP,2019-Q2,PHEQQALPRL
IRSFCY_OTH,REM,N_A,GL_OP,2019-Q2,UKWXQVWWSI
IRSFCY_OTH,TABR,N_A,GL_OP,2019-Q2,2733.95
IRSFCY_OTH,TABR,N_A,GL_OP,2019-Q2,2829.55
IRSFCY_OTH,TRBP,N_A,GL_OP,2019-Q2,2722
IRSFCY_OTH,TRBP,N_A,GL_OP,2019-Q2,2817.6
IRSINR,REM,N_A,GL_OP,2019-Q2,VERER
IRSINR,REM,N_A,GL_OP,2019-Q2,SKUDIUD
IRSINR_INBMKINCMT_FIX,GRPD,BK_B,GL_OP,2019-Q2,2673.17
IRSINR_INBMKINCMT_FIX,GRPD,BK_B,GL_OP,2019-Q2,2768.77
IRSINR_INBMKINCMT_FIX,GRPD,TR_B,GL_OP,2019-Q2,2661.22
IRSINR_INBMKINCMT_FIX,GRPD,TR_B,GL_OP,2019-Q2,2756.82
IRSINR_INBMKINCMT_FIX,GRREC,BK_B,GL_OP,2019-Q2,2649.27
IRSINR_INBMKINCMT_FIX,GRREC,BK_B,GL_OP,2019-Q2,2744.87
IRSINR_INBMKINCMT_FIX,GRREC,TR_B,GL_OP,2019-Q2,2637.32
IRSINR_INBMKINCMT_FIX,GRREC,TR_B,GL_OP,2019-Q2,2732.92
IRSINR_INBMKINCMT_FIX,HABP,N_A,GL_OP,2019-Q2,2613.42
