COMMENT,Currency,Time_Span,Measure_Type,INPUT,CNTRCT_DRVTS,BNK_OR_TRAD,Area_Operation,DMID,TIME_PERIOD
N_A,INR,N_A,NPTDM,N_A,FFC,TR_B,GL_OP,S1240,2019-Q2
N_A,INR,N_A,NPOUT,N_A,FFC,TR_B,GL_OP,S1241,2019-Q2
N_A,INR,N_A,NPTDM,N_A,FFC,BK_B,GL_OP,S1242,2019-Q2
N_A,INR,N_A,NPOUT,N_A,FFC,BK_B,GL_OP,S1243,2019-Q2
N_A,INR,N_A,CREEQ,N_A,FFC,TR_B,GL_OP,S1245,2019-Q2
N_A,INR,N_A,CREEQ,N_A,FFC,BK_B,GL_OP,S1246,2019-Q2
N_A,INR,N_A,NPTDM,N_A,FUTURE_CURRENCY,TR_B,GL_OP,S1258,2019-Q2
N_A,INR,N_A,NPOUT,N_A,FUTURE_CURRENCY,TR_B,GL_OP,S1259,2019-Q2
N_A,INR,N_A,NPTDM,N_A,FUTURE_CURRENCY,BK_B,GL_OP,S1260,2019-Q2
N_A,INR,N_A,NPOUT,N_A,FUTURE_CURRENCY,BK_B,GL_OP,S1261,2019-Q2
N_A,INR,N_A,CREEQ,N_A,FUTURE_CURRENCY,TR_B,GL_OP,S1263,2019-Q2
N_A,INR,N_A,CREEQ,N_A,FUTURE_CURRENCY,BK_B,GL_OP,S1264,2019-Q2
N_A,INR,N_A,NPTDM,N_A,FUTURE_INTEREST_RATE,TR_B,GL_OP,S1267,2019-Q2
N_A,INR,N_A,NPOUT,N_A,FUTURE_INTEREST_RATE,TR_B,GL_OP,S1268,2019-Q2
N_A,INR,N_A,NPTDM,N_A,FUTURE_INTEREST_RATE,BK_B,GL_OP,S1269,2019-Q2
N_A,INR,N_A,NPOUT,N_A,FUTURE_INTEREST_RATE,BK_B,GL_OP,S1270,2019-Q2
N_A,INR,N_A,CREEQ,N_A,FUTURE_INTEREST_RATE,TR_B,GL_OP,S1272,2019-Q2
N_A,INR,N_A,CREEQ,N_A,FUTURE_INTEREST_RATE,BK_B,GL_OP,S1273,2019-Q2
N_A,INR,N_A,NPTDM,N_A,OPTION_CURRENCY,TR_B,GL_OP,S1285,2019-Q2
