Currency,COMMENT,RA_LIST,Portfolio_Type,Particulars,NAME,Measure_Type,G_Instr,Asset_Qual_Class,Area_Operation,DMID,TIME_PERIOD
INR,N_A,N_A,N_A,N_A,N_A,TOTAL,GOI_TB,N_A,GL_OP,S110,2019-Q2
INR,N_A,N_A,N_A,N_A,N_A,TOTAL,GOI_TB,N_A,GL_OP,S111,2019-Q2
INR,N_A,N_A,N_A,N_A,N_A,TOTAL,GOI_TB,N_A,GL_OP,S112,2019-Q2
INR,N_A,N_A,N_A,N_A,N_A,TOTAL,DGSEC,N_A,GL_OP,S113,2019-Q2
INR,N_A,N_A,N_A,N_A,N_A,TOTAL,DGSEC,N_A,GL_OP,S114,2019-Q2
INR,N_A,N_A,N_A,N_A,N_A,TOTAL,DGSEC,N_A,GL_OP,S115,2019-Q2
INR,N_A,N_A,N_A,N_A,N_A,TOTAL,SGSEC,N_A,GL_OP,S116,2019-Q2
INR,N_A,N_A,N_A,N_A,N_A,TOTAL,SGSEC,N_A,GL_OP,S117,2019-Q2
INR,N_A,N_A,N_A,N_A,N_A,TOTAL,SGSEC,N_A,GL_OP,S118,2019-Q2
INR,N_A,N_A,N_A,N_A,N_A,TOTAL,OTHAPSEC,N_A,GL_OP,S119,2019-Q2
INR,N_A,N_A,N_A,N_A,N_A,TOTAL,OTHAPSEC,N_A,GL_OP,S120,2019-Q2
INR,N_A,N_A,N_A,N_A,N_A,TOTAL,OTHAPSEC,N_A,GL_OP,S121,2019-Q2
