COMMENT,Currency,NOR_DRVTS,Measure_Type,BNK_OR_TRAD,Area_Operation,DMID,TIME_PERIOD
N_A,INR,RUPEE_FCFORWARD,TRBP,N_A,GL_OP,S1960,2019-Q2
N_A,INR,RUPEE_FCFORWARD,TABR,N_A,GL_OP,S1961,2019-Q2
N_A,INR,RUPEE_FCFORWARD,HABP,N_A,GL_OP,S1962,2019-Q2
N_A,INR,RUPEE_FCFORWARD,HABR,N_A,GL_OP,S1963,2019-Q2
N_A,INR,RUPEE_FCFORWARD,GRREC,TR_B,GL_OP,S1965,2019-Q2
N_A,INR,RUPEE_FCFORWARD,GRREC,BK_B,GL_OP,S1966,2019-Q2
N_A,INR,RUPEE_FCFORWARD,GRPD,TR_B,GL_OP,S1968,2019-Q2
N_A,INR,RUPEE_FCFORWARD,GRPD,BK_B,GL_OP,S1969,2019-Q2
N_A,INR,RUPEE_FCFORWARD,NPPVBP,N_A,GL_OP,S1972,2019-Q2
N_A,N_A,RUPEE_FCFORWARD,REM,N_A,GL_OP,S1973,2019-Q2
N_A,N_A,IRSINR,REM,N_A,GL_OP,S1987,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,TRBP,N_A,GL_OP,S1988,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,TABR,N_A,GL_OP,S1989,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,HABP,N_A,GL_OP,S1990,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,HABR,N_A,GL_OP,S1991,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,GRREC,TR_B,GL_OP,S1993,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,GRREC,BK_B,GL_OP,S1994,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,GRPD,TR_B,GL_OP,S1996,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,GRPD,BK_B,GL_OP,S1997,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,NPPVBP,N_A,GL_OP,S2000,2019-Q2
N_A,N_A,IRSINR_MIBOROIS_FIX,REM,N_A,GL_OP,S2001,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,TRBP,N_A,GL_OP,S2002,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,TABR,N_A,GL_OP,S2003,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,HABP,N_A,GL_OP,S2004,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,HABR,N_A,GL_OP,S2005,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,GRREC,TR_B,GL_OP,S2007,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,GRREC,BK_B,GL_OP,S2008,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,GRPD,TR_B,GL_OP,S2010,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,GRPD,BK_B,GL_OP,S2011,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,NPPVBP,N_A,GL_OP,S2014,2019-Q2
N_A,N_A,IRSINR_MIBOROIS_FLOAT,REM,N_A,GL_OP,S2015,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,TRBP,N_A,GL_OP,S2016,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,TABR,N_A,GL_OP,S2017,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,HABP,N_A,GL_OP,S2018,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,HABR,N_A,GL_OP,S2019,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,GRREC,TR_B,GL_OP,S2021,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,GRREC,BK_B,GL_OP,S2022,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,GRPD,TR_B,GL_OP,S2024,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,GRPD,BK_B,GL_OP,S2025,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,NPPVBP,N_A,GL_OP,S2028,2019-Q2
N_A,N_A,IRSINR_INBMKINCMT_FIX,REM,N_A,GL_OP,S2029,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,TRBP,N_A,GL_OP,S2030,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,TABR,N_A,GL_OP,S2031,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,HABP,N_A,GL_OP,S2032,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,HABR,N_A,GL_OP,S2033,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,GRREC,TR_B,GL_OP,S2035,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,GRREC,BK_B,GL_OP,S2036,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,GRPD,TR_B,GL_OP,S2038,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,GRPD,BK_B,GL_OP,S2039,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,NPPVBP,N_A,GL_OP,S2042,2019-Q2
N_A,N_A,IRSINR_INBMKINCMT_FLOAT,REM,N_A,GL_OP,S2043,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,TRBP,N_A,GL_OP,S2044,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,TABR,N_A,GL_OP,S2045,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,HABP,N_A,GL_OP,S2046,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,HABR,N_A,GL_OP,S2047,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,GRREC,TR_B,GL_OP,S2049,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,GRREC,BK_B,GL_OP,S2050,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,GRPD,TR_B,GL_OP,S2052,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,GRPD,BK_B,GL_OP,S2053,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,NPPVBP,N_A,GL_OP,S2056,2019-Q2
N_A,N_A,IRSINR_MIFORMIOCSMITOR_FIX,REM,N_A,GL_OP,S2057,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FLOAT,TRBP,N_A,GL_OP,S2058,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FLOAT,TABR,N_A,GL_OP,S2059,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FLOAT,HABP,N_A,GL_OP,S2060,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FLOAT,HABR,N_A,GL_OP,S2061,2019-Q2
