Agency,EntryPoint,Query,ResponseCode
ABS,https://api.data.abs.gov.au,/dataflow/all/all/latest,200
ABS,https://api.data.abs.gov.au,/datastructure/all/all/latest,200
ABS,https://api.data.abs.gov.au,/metadatastructure/all/all/latest,404
ABS,https://api.data.abs.gov.au,/metadataflow/all/all/latest,404
ABS,https://api.data.abs.gov.au,/provisionagreement/all/all/latest,404
ABS,https://api.data.abs.gov.au,/structureset/all/all/latest,404
ABS,https://api.data.abs.gov.au,/process/all/all/latest,501
ABS,https://api.data.abs.gov.au,/categorisation/all/all/latest,200
ABS,https://api.data.abs.gov.au,/contentconstraint/all/all/latest,504
ABS,https://api.data.abs.gov.au,/actualconstraint/all/all/latest,504
ABS,https://api.data.abs.gov.au,/allowedconstraint/all/all/latest,404
ABS,https://api.data.abs.gov.au,/attachmentconstraint/all/all/latest,501
ABS,https://api.data.abs.gov.au,/structure/all/all/latest,501
ABS,https://api.data.abs.gov.au,/conceptscheme/all/all/latest,200
ABS,https://api.data.abs.gov.au,/codelist/all/all/latest,200
ABS,https://api.data.abs.gov.au,/categoryscheme/all/all/latest,200
ABS,https://api.data.abs.gov.au,/hierarchicalcodelist/all/all/latest,404
ABS,https://api.data.abs.gov.au,/organisationscheme/all/all/latest,403
ABS,https://api.data.abs.gov.au,/agencyscheme/all/all/latest,200
ABS,https://api.data.abs.gov.au,/dataproviderscheme/all/all/latest,404
ABS,https://api.data.abs.gov.au,/dataconsumerscheme/all/all/latest,404
ABS,https://api.data.abs.gov.au,/organisationunitscheme/all/all/latest,404
ABS,https://api.data.abs.gov.au,/transformationscheme/all/all/latest,403
ABS,https://api.data.abs.gov.au,/rulesetscheme/all/all/latest,403
ABS,https://api.data.abs.gov.au,/userdefinedoperatorscheme/all/all/latest,403
ABS,https://api.data.abs.gov.au,/customtypescheme/all/all/latest,403
ABS,https://api.data.abs.gov.au,/namepersonalisationscheme/all/all/latest,403
ABS,https://api.data.abs.gov.au,/namealiasscheme/all/all/latest,403
ABS,https://api.data.abs.gov.au,/conceptscheme/all/all/latest/all,200
ABS,https://api.data.abs.gov.au,/codelist/all/all/latest/all,200
ABS,https://api.data.abs.gov.au,/categoryscheme/all/all/latest/all,200
ABS,https://api.data.abs.gov.au,/hierarchicalcodelist/all/all/latest/all,404
ABS,https://api.data.abs.gov.au,/organisationscheme/all/all/latest/all,403
ABS,https://api.data.abs.gov.au,/agencyscheme/all/all/latest/all,200
ABS,https://api.data.abs.gov.au,/dataproviderscheme/all/all/latest/all,404
ABS,https://api.data.abs.gov.au,/dataconsumerscheme/all/all/latest/all,404
ABS,https://api.data.abs.gov.au,/organisationunitscheme/all/all/latest/all,404
ABS,https://api.data.abs.gov.au,/transformationscheme/all/all/latest/all,403
ABS,https://api.data.abs.gov.au,/rulesetscheme/all/all/latest/all,403
ABS,https://api.data.abs.gov.au,/userdefinedoperatorscheme/all/all/latest/all,403
ABS,https://api.data.abs.gov.au,/customtypescheme/all/all/latest/all,403
ABS,https://api.data.abs.gov.au,/namepersonalisationscheme/all/all/latest/all,403
ABS,https://api.data.abs.gov.au,/namealiasscheme/all/all/latest/all,403
ABS,https://api.data.abs.gov.au,"/data/ABS,C21_G58_SA2,1.0.0/all/all",500
ABS,https://api.data.abs.gov.au,"/availableconstraint/ABS,C21_G58_SA2,1.0.0/all/all/all",200
BIS,https://stats.bis.org/api/v1,/dataflow/all/all/latest,200
BIS,https://stats.bis.org/api/v1,/datastructure/all/all/latest,200
BIS,https://stats.bis.org/api/v1,/metadatastructure/all/all/latest,404
BIS,https://stats.bis.org/api/v1,/metadataflow/all/all/latest,404
BIS,https://stats.bis.org/api/v1,/provisionagreement/all/all/latest,404
BIS,https://stats.bis.org/api/v1,/structureset/all/all/latest,501
BIS,https://stats.bis.org/api/v1,/process/all/all/latest,404
BIS,https://stats.bis.org/api/v1,/categorisation/all/all/latest,200
BIS,https://stats.bis.org/api/v1,/contentconstraint/all/all/latest,200
BIS,https://stats.bis.org/api/v1,/actualconstraint/all/all/latest,200
BIS,https://stats.bis.org/api/v1,/allowedconstraint/all/all/latest,404
BIS,https://stats.bis.org/api/v1,/attachmentconstraint/all/all/latest,404
BIS,https://stats.bis.org/api/v1,/structure/all/all/latest,200
BIS,https://stats.bis.org/api/v1,/conceptscheme/all/all/latest,200
BIS,https://stats.bis.org/api/v1,/codelist/all/all/latest,200
BIS,https://stats.bis.org/api/v1,/categoryscheme/all/all/latest,200
BIS,https://stats.bis.org/api/v1,/hierarchicalcodelist/all/all/latest,200
BIS,https://stats.bis.org/api/v1,/organisationscheme/all/all/latest,200
BIS,https://stats.bis.org/api/v1,/agencyscheme/all/all/latest,200
BIS,https://stats.bis.org/api/v1,/dataproviderscheme/all/all/latest,404
BIS,https://stats.bis.org/api/v1,/dataconsumerscheme/all/all/latest,404
BIS,https://stats.bis.org/api/v1,/organisationunitscheme/all/all/latest,404
BIS,https://stats.bis.org/api/v1,/transformationscheme/all/all/latest,404
BIS,https://stats.bis.org/api/v1,/rulesetscheme/all/all/latest,404
BIS,https://stats.bis.org/api/v1,/userdefinedoperatorscheme/all/all/latest,404
BIS,https://stats.bis.org/api/v1,/customtypescheme/all/all/latest,404
BIS,https://stats.bis.org/api/v1,/namepersonalisationscheme/all/all/latest,404
BIS,https://stats.bis.org/api/v1,/namealiasscheme/all/all/latest,500
BIS,https://stats.bis.org/api/v1,/conceptscheme/all/all/latest/all,500
BIS,https://stats.bis.org/api/v1,/codelist/all/all/latest/all,500
BIS,https://stats.bis.org/api/v1,/categoryscheme/all/all/latest/all,500
BIS,https://stats.bis.org/api/v1,/hierarchicalcodelist/all/all/latest/all,400
BIS,https://stats.bis.org/api/v1,/organisationscheme/all/all/latest/all,400
BIS,https://stats.bis.org/api/v1,/agencyscheme/all/all/latest/all,500
BIS,https://stats.bis.org/api/v1,/dataproviderscheme/all/all/latest/all,500
BIS,https://stats.bis.org/api/v1,/dataconsumerscheme/all/all/latest/all,500
BIS,https://stats.bis.org/api/v1,/organisationunitscheme/all/all/latest/all,500
BIS,https://stats.bis.org/api/v1,/transformationscheme/all/all/latest/all,500
BIS,https://stats.bis.org/api/v1,/rulesetscheme/all/all/latest/all,500
BIS,https://stats.bis.org/api/v1,/userdefinedoperatorscheme/all/all/latest/all,500
BIS,https://stats.bis.org/api/v1,/customtypescheme/all/all/latest/all,500
BIS,https://stats.bis.org/api/v1,/namepersonalisationscheme/all/all/latest/all,500
BIS,https://stats.bis.org/api/v1,/namealiasscheme/all/all/latest/all,500
BIS,https://stats.bis.org/api/v1,"/data/BIS,WS_LONG_CPI,1.0/all/all",200
BIS,https://stats.bis.org/api/v1,"/availableconstraint/BIS,WS_LONG_CPI,1.0/all/all/all",200
ECB,https://data-api.ecb.europa.eu/service,/dataflow/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/datastructure/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/metadatastructure/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/metadataflow/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/provisionagreement/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/structureset/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/process/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/categorisation/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/contentconstraint/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/actualconstraint/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/allowedconstraint/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/attachmentconstraint/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/structure/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/conceptscheme/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/codelist/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/categoryscheme/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/hierarchicalcodelist/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/organisationscheme/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/agencyscheme/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/dataproviderscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/dataconsumerscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/organisationunitscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/transformationscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/rulesetscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/userdefinedoperatorscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/customtypescheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/namepersonalisationscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/namealiasscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/conceptscheme/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/codelist/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/categoryscheme/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/hierarchicalcodelist/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/organisationscheme/all/all/latest/all,404
